iter	Logloss
0	0.6887452976
1	0.6849762705
2	0.680785818
3	0.6770378952
4	0.673295834
5	0.6694114684
6	0.6656138971
7	0.661825981
8	0.658027265
9	0.65445126
10	0.651176983
11	0.6477808333
12	0.6444431843
13	0.641103385
14	0.6377654704
15	0.6349227072
